Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,7439557975569665288,2024-11-21T10:44:36,173,PH,85200,212,507,44800000,"The idea of going back to college in my 40s felt daunting, terrifying even. But knowing my family believes in me gives me the strength to face every challenge head-on. This journey has taught me that courage isn’t about being completely fearless—it’s about moving forward despite the fear, trusting that your purpose is greater than any obstacle in your path, and above all, remembering you are never truly alone. #GoForwardTogether@Globe Telecom ",True,Unnamed: 32,bogarttheexplorer,Bogart The Explorer,643800,105,9600000,434,255,False,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
,,,,,,,,,,,,,,,,,,,,,,6.894871657643609e+18,2020-11-14T15:03:28,18.0,PH,354800.0,1701.0,1396.0,2600000.0,Yung pagtalon talaga ni frances sa huli eh🤣 #fyp #escrandatwins #foryou,False,,escranda_twins,Escranda Twins,787200.0,2633.0,5100000.0,2082.0,24700.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486300198000397e+18,2025-03-27T09:48:21,10.0,PH,31.0,0.0,0.0,241.0,😭,False,🙂,escranda_twins,Escranda Twins,787200.0,2633.0,5100000.0,2082.0,24700.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6.907469044899778e+18,2020-12-18T13:47:47,8.0,PH,120800.0,338.0,997.0,868900.0,Kakahiya susko🤣 with my twin sister @gottobefrances kakaligo lang nya🤦🏼‍♀️ #jechsfam #escrandatwins #fyp #foryou,False,,escranda_twins,Escranda Twins,787200.0,2633.0,5100000.0,2082.0,24700.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.150974649613028e+18,2022-10-05T18:33:54,17.0,PH,410600.0,1957.0,1337.0,3700000.0,This is your sign to take BSHM course❤️ #bshm #escrandatwins #fyp ,False,,escranda_twins,Escranda Twins,787200.0,2633.0,5100000.0,2082.0,24700.0,False,University of Perpetual Help GMA,"Cavite, Calabarzon, Philippines",General Mariano Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486111725452905e+18,2025-03-26T21:36:56,81.0,PH,19.0,0.0,3.0,335.0,Masarap😋 #escrandatwins #foody #foodtrip #honestreview ,False,Scroll ka na wala kwenta to😂;Kunwari??😅;Sarap na sarap naman sya dami pa ebas (navideohan ko yung first bite sa burger ewan ko kung bakit nacut😫),escranda_twins,Escranda Twins,787200.0,2633.0,5100000.0,2082.0,24700.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.484410706117266e+18,2025-03-22T07:36:11,6.0,PK,1670.0,29.0,131.0,17600.0,Tuje merre pe barosa h ??? #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800.0,12.0,11900000.0,3028.0,23400.0,False,Blochistan Provincenal Library,"Quetta, Quetta, Balochistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.484412379049119e+18,2025-03-22T07:42:43,11.0,PK,434.0,15.0,82.0,4708.0,Or baji ne haar chez maiin mje copy bhii karrna hutta h😂😂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800.0,12.0,11900000.0,3028.0,23400.0,False,Blochistan Provincenal Library,"Quetta, Quetta, Balochistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.483671215668841e+18,2025-03-20T07:46:34,15.0,PK,3281.0,42.0,194.0,32200.0,Lyrics please 😒 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800.0,12.0,11900000.0,3028.0,23400.0,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.483685948480359e+18,2025-03-20T08:43:49,42.0,PK,24500.0,1082.0,1203.0,174300.0,Peera dam bandi kawa bad nazar da wahaly da 🥀♥️🫂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800.0,12.0,11900000.0,3028.0,23400.0,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.483670020153773e+18,2025-03-20T07:41:59,66.0,PK,11500.0,427.0,480.0,103100.0,Zar shaa meda meda meda raza qurban shum wary wara wara raza🥀♥️🫂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800.0,12.0,11900000.0,3028.0,23400.0,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486147887076806e+18,2025-03-26T23:57:15,48.0,PH,800.0,8.0,18.0,52700.0,"BUSINESS AS USUAL FOR COACH CHOT. TNT coach Chot Reyes gets honest and said that he and Poy Erram did not need to address anything regarding their heated argument during Game 5 of the best-of-seven Final series in the #PBASeason49 Commissioner's Cup, emphasizing the level of trust and depth the Tropang Giga has with each other. | via Xander Lauren Cipriano/One Sports  #OSOnTheSpot #PBAFinals #PBAAngatAngLaban #OneSports",False,,onesportsphl,OneSportsPHL,1200000.0,2.0,64100000.0,5159.0,102.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486162069482376e+18,2025-03-27T00:52:17,32.0,PH,54.0,0.0,2.0,2200.0,"MIDWEEK MADNESS IN THE UAAP AT ITS FINEST! 🤯 The NU men’s team is back on the winning track, UP delivers an upset vs. NU, and both FEU teams claim big wins in this UAAP Wednesday quadruple-header. | via Maureen Muarip/One Sports  #OSOnTheSpot #UAAPSeason87 #StrongerBetterTogether #LegendsStartHere #OneSports",False,,onesportsphl,OneSportsPHL,1200000.0,2.0,64100000.0,5159.0,102.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486298117411769e+18,2025-03-27T09:40:20,40.0,PH,187.0,0.0,3.0,5936.0,‘THEY WERE JUST BETTER AT IT’ Barangay Ginebra head coach Tim Cone admits that TNT played better than the Gin Kings in Game 6 of the PBA Season 49 Commissioner’s Cup best-of-seven Final series. | via Gillian Trinidad/One Sports #PBASeason49 #PBAAngatAngLaban #PBAFinals #OneSports #SportsonTiktok ,False,,onesportsphl,OneSportsPHL,1200000.0,2.0,64100000.0,5159.0,102.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486392467487591e+18,2025-03-27T16:15:00,153.0,PH,77.0,0.0,0.0,1147.0,"WALANG TAKOT KAHIT KANINO 😤💪 Major upset para sa NU ang handog ng UP, nang tapusin ng Fighting Maroons ang 8-0 winning streak ng Lady Bulldogs sa kanilang intense five-setter Round 2 showdown sa UAAP Season 87 women's volleyball tournament! Balikan ang nasabing pangyayari sa video na ito at pag-usapan natin 'yan sa comments section. 👇🏻 #OSOnTheSpot #UAAPSeason87 #StrongerBetterTogether #LegendsStartHere #OneSports",False,,onesportsphl,OneSportsPHL,1200000.0,2.0,64100000.0,5159.0,102.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.486294858307538e+18,2025-03-27T09:27:41,56.0,PH,962.0,6.0,10.0,29600.0,‘I’M HAPPY FOR POY’ 🫂 TNT’s Calvin Oftana talks about their Game 6 win against Barangay Ginebra and gives Poy Erram the credit for staying composed throughout the crucial match. | via Gillian Trinidad/One Sports #PBASeason49 #PBAAngatAngLaban #PBAFinals #OneSports #SportsonTiktok ,False,,onesportsphl,OneSportsPHL,1200000.0,2.0,64100000.0,5159.0,102.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7.483363464879066e+18,2025-03-19T11:52:22,11.0,PH,635.0,19.0,29.0,18700.0,Airbus Door closing ✈️,False,,rbedz,Ralph Bediones ✈,968600.0,471.0,16600000.0,1078.0,117300.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7247513523784355090,2023-06-22T22:14:02,10,GB,25300,277,220,1100000,My Lizzy Mcguire moment 🥹 #rome #lizzymcguire ,False,Lizzy McGuire moment,chloe.roberts__,CHLOE ROBERTS,1200000,238,12200000,1003,10600,False,,,
