Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,7439557975569665288,2024-11-21T10:44:36,173,PH,85200,212,507,44800000,"The idea of going back to college in my 40s felt daunting, terrifying even. But knowing my family believes in me gives me the strength to face every challenge head-on. This journey has taught me that courage isn’t about being completely fearless—it’s about moving forward despite the fear, trusting that your purpose is greater than any obstacle in your path, and above all, remembering you are never truly alone. #GoForwardTogether@Globe Telecom ",True,Unnamed: 32,bogarttheexplorer,Bogart The Explorer,643800,105,9600000,434,255,False,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,poi_name,poi_address,poi_city
,,,,,,,,,,,,,,,,,,,,,,6894871657643609346,2020-11-14T15:03:28,18,PH,354800,1701,1396,2600000,Yung pagtalon talaga ni frances sa huli eh🤣 #fyp #escrandatwins #foryou,False,,escranda_twins,Escranda Twins,787200,2633,5100000,2082,24700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486300198000397573,2025-03-27T09:48:21,10,PH,31,0,0,241,😭,False,🙂,escranda_twins,Escranda Twins,787200,2633,5100000,2082,24700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6907469044899777793,2020-12-18T13:47:47,8,PH,120800,338,997,868900,Kakahiya susko🤣 with my twin sister @gottobefrances kakaligo lang nya🤦🏼‍♀️ #jechsfam #escrandatwins #fyp #foryou,False,,escranda_twins,Escranda Twins,787200,2633,5100000,2082,24700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7150974649613028634,2022-10-05T18:33:54,17,PH,410600,1957,1337,3700000,This is your sign to take BSHM course❤️ #bshm #escrandatwins #fyp ,False,,escranda_twins,Escranda Twins,787200,2633,5100000,2082,24700,False,University of Perpetual Help GMA,"Cavite, Calabarzon, Philippines",General Mariano Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7486111725452905733,2025-03-26T21:36:56,81,PH,19,0,3,335,Masarap😋 #escrandatwins #foody #foodtrip #honestreview ,False,Scroll ka na wala kwenta to😂;Kunwari??😅;Sarap na sarap naman sya dami pa ebas (navideohan ko yung first bite sa burger ewan ko kung bakit nacut😫),escranda_twins,Escranda Twins,787200,2633,5100000,2082,24700,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484410706117266695,2025-03-22T07:36:11,6,PK,1670,29,131,17600,Tuje merre pe barosa h ??? #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800,12,11900000,3028,23400,False,Blochistan Provincenal Library,"Quetta, Quetta, Balochistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7484412379049118983,2025-03-22T07:42:43,11,PK,434,15,82,4708,Or baji ne haar chez maiin mje copy bhii karrna hutta h😂😂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800,12,11900000,3028,23400,False,Blochistan Provincenal Library,"Quetta, Quetta, Balochistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7483671215668841735,2025-03-20T07:46:34,15,PK,3281,42,194,32200,Lyrics please 😒 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800,12,11900000,3028,23400,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7483685948480359688,2025-03-20T08:43:49,42,PK,24500,1082,1203,174300,Peera dam bandi kawa bad nazar da wahaly da 🥀♥️🫂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800,12,11900000,3028,23400,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7483670020153773330,2025-03-20T07:41:59,66,PK,11500,427,480,103100,Zar shaa meda meda meda raza qurban shum wary wara wara raza🥀♥️🫂 #foryoupage #foryou #HKM👑 ,False,,quettaqueen__009,QuettaQueen_009,878800,12,11900000,3028,23400,False,Balochistan Provinsial Libruary,"JinnahRoad, Baluchistan, Pakistan",Quetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
